id,kraj,leto,cena,agencija,opis,nadstropja,povrsina_zemljisca,povrsina_hise,ima_klet,drzava
6373348,APNO,2016,200000,Fesst nepremičnine d.o.o.,"245,28 m2, samostojna, novogradnja - zgr. l. 2016, 451 m2 zemljišča, K+P+M, prodamo. Cena: 200.000,00 EUR",K+P+M,451,245,True,Slovenija
6429066,ARCLIN,2021,173506,"Agenti Celje, AŽ&MB Nerad d.o.o.","126 m2, samostojna, zgrajena l. 2021, 600 m2 zemljišča, prodamo. Cena: 173.506,00 EUR",,600,126,,Slovenija
6398182,ARJA VAS,2001,340000,Market center Omnis d.o.o.,"250 m2, samostojna, zgrajena l. 2001, 3.401 m2 zemljišča, P+1/2 nad., prodamo. Cena: 340.000,00 EUR",P+1,3401,250,False,Slovenija
6411123,"ARMEŠKO, KRŠKO, LOKACIJA OB LOKALNI CESTI",1973,140000,"Geodet Kralj, geodetske storitve in nepremičnine, Janez Kralj s.p.","518,2 m2, samostojna, zgrajena l. 1973, adaptirana l. 2005, 2.874 m2 zemljišča, K+P+M, prodamo. Cena: 140.000,00 EUR",K+P+M,2874,518,True,Slovenija
6395444,ARNAČE,1985,297000,MPTRG d.o.o.,"261 m2, samostojna, zgrajena l. 1985, adaptirana l. 2019, 2.785 m2 zemljišča, P+1+M, prodamo. Cena: 297.000,00 EUR",P+1+M,2785,261,False,Slovenija
6398572,"ARNAČE, VELENJE",1992,297000,MEZANIN PRO nepremičnine d.o.o.,"260 m2, samostojna, zgrajena l. 1992, adaptirana l. 2019, 2.785 m2 zemljišča, K+P+M, brez provizije za kupca, prodamo. C...",K+P+M,2785,260,True,Slovenija
6428543,ARNOVO SELO,1953,159900,AXA 1995 d.o.o. PE nepremičnine Krško,"193 m2, samostojna, zgrajena l. 1953, 9.149 m2 zemljišča, P+M, Stanovanjska hiša za eno ali dve družini, ravna parcela, ...",P+M,9149,193,False,Slovenija
6259561,"ARTIČE, CENTER, PRI OŠ",1900,150000,Zasebna ponudba,"350 m2, samostojna, zgrajena l. 1900, adaptirana l. 2021, 575 m2 zemljišča, K+P+1, Večja hiša, z možnostjo izgradnje 5 s...",K+P+1,575,350,True,Slovenija
6147371,AVČE,2000,85000,"MISTRAL NEPREMIČNINE, Valter Vodopivec s.p.","222 m2, samostojna, adaptirana l. 2000, 561 m2 zemljišča, prodamo. Cena: cca 85.000,00 EUR",,561,222,,Slovenija
6413355,"BABIČI, ROJCI, V GRADNJI",2021,480000,"Apertura, poslovanje z nepremičninami, d.o.o.","242 m2, samostojna, novogradnja, začetek gradnje l. 2021, 536 m2 zemljišča, K+P+1, V Rojcih prodamo samostojno hišo - no...",K+P+1,536,242,True,Slovenija
6412421,BABNA REKA,1975,150000,MEZANIN PRO nepremičnine d.o.o.,"102,6 m2, samostojna, zgrajena l. 1975, 55.000 m2 zemljišča, P+M, brez provizije za kupca, prodamo. Cena: 150.000,00 EUR...",P+M,55000,102,False,Slovenija
6428383,BABNA REKA,1981,45000,"Nepremičninska družba, d.o.o., PE RE/MAX Premium","119 m2, samostojna, zgrajena l. 1981, 1.813 m2 zemljišča, K+P+M, Manjša hiša ob gozdu, prodamo. Cena: 45.000,00 EUR",K+P+M,1813,119,True,Slovenija
6096659,BABNO POLJE,1997,57000,Nepremičnine Land d.o.o.,"220 m2, samostojna, zgrajena l. 1997, 2.660 m2 zemljišča, prodamo. Cena: 57.000,00 EUR",,2660,220,,Slovenija
6390051,BAČA PRI MODREJU,1998,75000,Renes d.o.o.,"96,7 m2, samostojna, adaptirana l. 1998, 65 m2 zemljišča, Samostojna stanovanjska hiša velikosti 96,70 m2 na parceli 65 ...",,65,96,,Slovenija
6350150,"BANJŠICE, ZASELEK PODLEŠČE",1920,59900,Vilmar nepremičnine d.o.o.,"108 m2, samostojna, zgrajena l. 1920, adaptirana l. 1999, 89 m2 zemljišča, P+1, Na Banjšicah v zaselku Podlešče prodamo ...",P+1,89,108,False,Slovenija
6405494,BAREDI,1977,236000,"Nepremičnine Izola, d.o.o.","47 m2, samostojna, zgrajena l. 1977, adaptirana l. 2019, 3.303 m2 zemljišča, nad izolo, majhna, enostanovanjska hiša, na...",,3303,47,,Slovenija
6427543,BAREDI,1940,290000,"Mediteran nepremičnine, Jože Mamilovič s.p.","120 m2, samostojna, zgrajena l. 1940, 846 m2 zemljišča, P+1, prodamo. Cena: 290.000,00 EUR",P+1,846,120,False,Slovenija
6272548,"BARKA, OKOLICA",1900,68000,"Ruj nepremičnine, Jernej Suša, s.p.","135 m2, vrstna, zgrajena l. 1900, adaptirana l. 1988, 87 m2 zemljišča, V nadstropju popolnoma vseljiva in opremljena man...",,87,135,,Slovenija
6421266,BAŠELJ,1990,93000,R SKUPINA d.o.o.,"120 m2, samostojna, zgrajena l. 1990, 538 m2 zemljišča, K+P+M, čudovita lokacija, na robu naselja, stanovanjski objekt, ...",K+P+M,538,120,True,Slovenija
