kraj,postna_stevilka
Koper/Capodistria – P.P.,6001
Koprivnica,8282
Kostanjevica na Krasu,5296
Kostanjevica na Krki,8311
Kostel,1336
Košana,6256
Kotlje,2394
Kozina,6240
Kozje,3260
"<a name=""postna-stevilka-kranj""></a>Kranj",4000
Kranj – P.P.,4001
Kranjska Gora,4280
Kresnice,1281
Križe,4294
Križevci,9206
Križevci pri Ljutomeru,9242
Krka,1301
Krmelj,8296
Kropa,4245
Krška vas,8262
Krško,8270
Kuzma,9263
Laporje,2318
Laško,3270
Laze v Tuhinju,1219
Lenart v Slovenskih goricah,2230
Lendava/Lendva,9220
Lesce,4248
Lesično,3261
Leskovec pri Krškem,8273
Libelice,2372
Limbuš,2341
Litija,1270
Ljubečna,3202
"<a name=""postna-stevilka-ljubljana""></a>Ljubljana",1000
Ljubljana – P.P.,1001
Ljubljana – Črnuče,1231
Ljubljana – Dobrunje,1261
Ljubljana – Polje,1260
Ljubljana – Šentvid,1210
Ljubljana – Šmartno,1211
Ljubno ob Savinji,3333
Ljutomer,9240
Loče,3215
Log pod Mangartom,5231
Log pri Brezovici,1358
Logatec,1370
Logatec,1371
Loka pri Zidanem Mostu,1434
Loka pri Žusmu,3223
Lokev,6219
Loški Potok,1318
Lovrenc na Dravskem polju,2324
Lovrenc na Pohorju,2344
Luče,3334
Mačkovci,9202
Majšperk,2322
Makole,2321
Mala Nedelja,9243
Malečnik,2229
Marezige,6273
"<a name=""postna-stevilka-maribor""></a>Maribor",2000
Maribor – P.P.,2001
Marjeta na Dravskem polju,2206
Markovci,2281
Martjanci,9221
Materija,6242
Mavčiče,4211
Medvode,1215
Mengeš,1234
Metlika,8330
Mežica,2392
Miklavž na Dravskem polju,2204
Miklavž pri Ormožu,2275
Miren,5291
Mirna,8233
Mirna Peč,8216
Mislinja,2382
Mojstrana,4281
Mokronog,8230
Moravče,1251
Moravske Toplice,9226
Most na Soči,5216
Motnik,1221
Mozirje,3330
"<a name=""postna-stevilka-murska-sobota""></a>Murska Sobota",9000
Murska Sobota – P.P.,9001
Muta,2366
Naklo,4202
Nazarje,3331
Notranje Gorice,1357
Nova Cerkev,3203
"<a name=""postna-stevilka-nova-gorica""></a>Nova Gorica",5000
Nova Gorica – P.P.,5001
Nova vas,1385
"<a name=""postna-stevilka-novo-mesto""></a>Novo mesto",8000
Obrov,6243
Odranci,9233
Oplotnica,2317
Orehova vas,2312
Ormož,2270
Ortnek,1316
Osilnica,1337
Otočec,8222
Pernica,2231
Pesnica pri Mariboru,2211
Petrovci,9203
Petrovče,3301
Piran/Pirano,6330
Pišece,8255
Pivka,6257
Planina,6232
Planina pri Sevnici,3225
Pobegi,6276
Podbočje,8312
Podbrdo,5243
Podčetrtek,3254
Podgorci,2273
Podgorje,6216
Podgorje pri Slovenj Gradcu,2381
Podgrad,6244
Podkum,1414
Podlehnik,2286
Podnanos,5272
Podnart,4244
Podplat,3241
Podsreda,3257
Podvelka,2363
Pohorje,2208
Polenšak,2257
Polhov Gradec,1355
Poljane nad Škofjo Loko,4223
Poljčane,2319
Polšnik,1272
Polzela,3313
Ponikva,3232
Portorož/Portorose,6320
Postojna,6230
Pragersko,2331
Prebold,3312
Preddvor,4205
Prem,6255
Preserje,1352
Prestranek,6258
Prevalje,2391
Prevorje,3262
Primskovo,1276
Pristava pri Mestinju,3253
Prosenjakovci/Partosfalva,9207
Prvačina,5297
Ptuj,2250
Ptujska Gora,2323
Puconci,9201
Rače,2327
Radeče,1433
Radenci,9252
Radlje ob Dravi,2360
Radomlje,1235
Radovljica,4240
Raka,8274
Rakek,1381
Rateče – Planica,4283
Ravne na Koroškem,2390
Rečica ob Savinji,3332
Renče,5292
Ribnica,1310
Ribnica na Pohorju,2364
Rimske Toplice,3272
Rob,1314
Ročinj,5215
Rogaška Slatina,3250
Rogašovci,9262
Rogatec,3252
Rovte,1373
Sava,1282
Sečovlje/Sicciole,6333
Selca,4227
Selnica ob Dravi,2352
Semič,8333
Senovo,8281
Senožeče,6224
Sevnica,8290
Sežana,6210
Sladki Vrh,2214
Slap ob Idrijci,5283
Slovenj Gradec,2380
Slovenska Bistrica,2310
Slovenske Konjice,3210
Smlednik,1216
Soča,5232
Sodražica,1317
Solčava,3335
Solkan,5250
Sorica,4229
Sovodenj,4225
Spodnja Idrija,5281
Spodnji Duplek,2241
Spodnji Ivanjci,9245
Središče ob Dravi,2277
Srednja vas v Bohinju,4267
Sromlje,8256
Srpenica,5224
Stahovica,1242
Stara Cerkev,1332
Stari trg ob Kolpi,8342
Stari trg pri Ložu,1386
Starše,2205
Stoperce,2289
Stopiče,8322
Stranice,3206
Straža,8351
Struge,1313
Studenec,8293
Suhor,8331
Sv. Ana v Slovenskih goricah,2233
Sv. Trojica v Slovenskih goricah,2235
Sveti Duh na Ostrem Vrhu,2353
Sveti Jurij ob Ščavnici,9244
Sveti Štefan,3264
Sveti Tomaž,2258
Šalovci,9204
Šempas,5261
Šempeter pri Gorici,5290
Šempeter v Savinjski dolini,3311
Šenčur,4208
Šentilj v Slovenskih goricah,2212
Šentjanž,8297
Šentjanž pri Dravogradu,2373
Šentjernej,8310
Šentjur,3230
Šentrupert,3271
Šentrupert,8232
Šentvid pri Stični,1296
Škocjan,8275
Škofije,6281
Škofja Loka,4220
Škofja vas,3211
Škofljica,1291
Šmarje,6274
Šmarje – Sap,1293
Šmarje pri Jelšah,3240
Šmarješke Toplice,8220
Šmartno na Pohorju,2315
Šmartno ob Dreti,3341
Šmartno ob Paki,3327
Šmartno pri Litiji,1275
Šmartno pri Slovenj Gradcu,2383
Šmartno v Rožni dolini,3201
Šoštanj,3325
Štanjel,6222
Štore,3220
Tabor,3304
Teharje,3221
Tišina,9251
Tolmin,5220
Topolšica,3326
Trbonje,2371
Trbovlje,1420
Trebelno,8231
Trebnje,8210
Trnovo pri Gorici,5252
Trnovska vas,2254
Trojane,1222
Trzin,1236
Tržič,4290
Tržišče,8295
Turjak,1311
Vače,1252
Velenje,3320
Velenje – P.P.,3322
Velika Loka,8212
Velika Nedelja,2274
Velika Polana,9225
Velike Lašče,1315
Veliki Gaber,8213
Veržej,9241
Videm – Dobrepolje,1312
Videm pri Ptuju,2284
Vinica,8344
Vipava,5271
Visoko,4212
Višnja Gora,1294
Vitanje,3205
Vitomarci,2255
Vodice,1217
Vojnik,3212
Volčja Draga,5293
Voličina,2232
Vransko,3305
Vremski Britof,6217
Vrhnika,1360
Vuhred,2365
Zabukovje,8292
Zagorje ob Savi,1410
Zagradec,1303
Zavrc,2283
Zdole,8272
Zgornja Besnica,4201
Zgornja Korena,2242
Zgornja Kungota,2201
Zgornja Ložnica,2316
Zgornja Polskava,2314
Zgornja Velka,2213
Zgornje Gorje,4247
Zgornje Jezersko,4206
Zgornji Leskovec,2285
Zidani Most,1432
Žabnica,4209
Žalec,3310
Železniki,4228
Žetale,2287
Žiri,4226
Žirovnica,4274
